funlo_seg_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
Moderate Non-Loyal,Services,Fuel,1701778,1538438,62919552,22901043,1138697,37254,0.363973395741915,0.01809766541249372,207526633,88230151,6985107,114492,0.4251509780915686,0.033658846091335175
Narrow Consumption,Seasonal,Pharmacy,1441122,1281136,404553430,167040464,5401324,127550,0.4129008719565176,0.013351324199624263,790461860,291333919,29177577,480251,0.3685616393939614,0.036912061766016135
Top Loyal,Sale - Fuel Points,No Department,3334606,2798133,1950304326,747150229,97890390,1446642,0.38309417614448754,0.05019236674758829,3384096815,1525802688,135516250,821586,0.4508744197969998,0.0400450274942858
Top Loyal,Sale - Threshold Offer,Adult Beverage,2965350,2585725,106812081,60115785,2645834,17661,0.5628182171640304,0.02477092455487315,376477728,193612575,26415365,116180,0.514273649143994,0.07016448261183726
Bottom Non-Loyal,Best Customer,General Merchandise,5357493,5046552,3448376804,1360987891,56668148,3189126,0.3946749350074795,0.016433281865910615,1003182397,399928949,12788362,621107,0.39866025380427406,0.01274779346033521
New: Predicted Non-Loyal,Sale - Threshold Offer,Gift Cards,2319673,2253539,254699282,116277981,1592704,169501,0.4565304624612173,0.006253272437572085,2317292161,992414681,25322360,1882878,0.4282648073912852,0.010927564692176076
Unreliable Pattern,Diigital Coupons,Fresh,2232288,2095321,43089850,19396951,1585271,32025,0.45015127692484425,0.0367898936756568,17393223,7532042,181817,5447,0.4330446404326559,0.01045332426313398
Moderate Non-Loyal,Holiday,Fuel,1723951,1575105,73081049,30049106,601689,22009,0.41117507768669276,0.008233174102358602,167717048,62613038,4369691,116298,0.3733254236623578,0.02605394652545995
Unreliable Pattern,Sale - Prie,Multi Department,2520002,2335567,46201791,20544270,1663141,37417,0.4446639308852767,0.03599732746291156,136204682,64050058,3817832,28933,0.47024857779852236,0.02803010839230916
Moderate Loyal,Sale - Price & Item,No Department,2453177,2161255,1700750473,819413744,42722314,678874,0.48179539386198955,0.0251196837385798,2460541809,1069934102,84812711,782738,0.43483679004618775,0.03446912004899812
New: Predicted Opportunity,Seasonal,General Merchandise,98103,93396,31661789,12835305,301831,21664,0.40538786358534573,0.009532973642140057,41577100,16346284,807117,43917,0.3931559440172595,0.019412537189943502
Moderate Loyal,Holiday,Pharmacy,2300652,2059195,367768157,154947604,4814098,108307,0.4213187059585477,0.013090034872159963,1058894207,405111588,35506850,565720,0.38257985105777426,0.03353200892523157
Moderate Loyal,Seasonal,Fresh,2400769,2131143,1897094338,812601704,23312564,700249,0.42834016618102416,0.01228856337454316,1767856162,779079053,37265552,644716,0.44069142600301664,0.021079515857127747
New: Predicted Non-Loyal,Holiday,HBC,2512058,2434437,286348663,99757237,1299371,202858,0.3483768213019385,0.004537723299933829,1578186222,567850272,14612168,1228777,0.35981195633578406,0.009258836375774671
Narrow Consumption,Services,Grocery,1506121,1326056,878702223,309418969,24386156,576480,0.352131769899938,0.027752468767795527,1108234803,524417708,42796329,373385,0.4732009016323953,0.038616662176778796
Narrow Consumption,Sale - Price & Item,Produce,1467077,1299195,30388931,15050201,883975,10135,0.4952527286991438,0.029088716546166103,153995534,74019472,8837450,80577,0.48065986121389725,0.057387703204431886
Moderate Non-Loyal,Diigital Coupons,Gift Cards,273498,247333,6166158,3589012,440144,3717,0.5820499572018751,0.07138059063682767,1182822,637145,50419,181,0.5386651584092957,0.04262602487948314
Top Loyal,Services,Pharmacy,3177882,2705804,584491117,226283813,16564980,128136,0.3871467100500006,0.028340858429162407,1510666856,582877518,70324513,766969,0.38584120362802216,0.04655196658395476
Top Loyal,Best Customer,Fresh,3240276,2748454,1851873972,846004977,151719488,1310615,0.4568372307140996,0.08192754490530742,1360450591,634193033,39453318,371253,0.4661639586145029,0.029000184395524292
Unreliable Pattern,Diigital Coupons,General Merchandise,2191772,2061493,42753797,19341780,1574413,16472,0.4523991167380993,0.03682510351068936,9058352,4027443,114064,2584,0.4446110065053776,0.012592135964687617
Top Loyal,Sale - Fuel Points,General Merchandise,3366249,2831564,1800921776,712442220,92296973,992305,0.3955986481447265,0.05124985117621233,1796789955,798989173,84199467,934596,0.4446758903435655,0.046861051713749144
Unreliable Pattern,Seasonal,Fresh,2732576,2503278,2103328477,826999972,15525903,919872,0.39318631447407537,0.007381587407661956,1758025063,700287425,22874754,853486,0.3983375662489062,0.013011619960050593
Top Loyal,Seasonal,Pharmacy,3196701,2727450,867400588,378032894,12946947,233705,0.435822731999347,0.014926145058135469,1594975398,602262048,71224207,874124,0.37759958476801536,0.04465536401960226
New: Predicted Opportunity,Services,Grocery,92138,87689,29326013,11811868,576625,30202,0.40277783413653945,0.019662577384794856,24350601,10396950,544140,14617,0.426968927789503,0.02234606037033747
New: Predicted Loyal,Holiday,Gift Cards,114695,107333,12518253,4974392,174304,5709,0.39737110282081695,0.013923987636293978,65003377,27394222,2072093,40965,0.4214276744422063,0.031876697729104134
Bottom Non-Loyal,Sale - Threshold Offer, Fresh,4652289,4436858,113501077,49507082,654244,45417,0.43618160557190133,0.005764209620671705,662275606,278496627,9340608,427536,0.42051469883068593,0.014103808014936912
Moderate Loyal,Sale - Fuel,Grocery,2154280,1946963,97275965,43813855,5444227,71261,0.45040781656599344,0.055966825926630485,46596651,22726264,1410491,10405,0.48772311984395617,0.030270222638961758
New: Predicted Loyal,Seasonal,Produce,124941,116754,1789222,800807,21679,940,0.44757274390768725,0.01211643943568769,5974306,2791674,253956,4341,0.46728004892953257,0.042508033569087354
Unreliable Pattern,Sale - Threshold Offer,Gift Cards,2658767,2446290,1340351194,666802117,15162941,418230,0.4974831372441035,0.011312662731883983,5722467909,2480385442,137841275,3347092,0.4334468067700264,0.02408773228473862
New: Predicted Non-Loyal,Ecommerce,Adult Beverage,873978,848510,6204600,2244910,32177,3358,0.36181381555620024,0.0051859910389066175,74222252,31827801,841008,32959,0.4288175061031562,0.011330941561837816
New: Predicted Non-Loyal,Best Customer,Grocery,2515789,2440109,1210919749,508950388,16401360,1260652,0.4203006751027892,0.013544547451261364,154227512,63743307,2167418,98219,0.4133069785888785,0.014053381085470665
Bottom Non-Loyal,Brand Savings,HBC,4787459,4521116,2422384851,819036165,24438522,2106416,0.3381114956452475,0.01008862072015988,2996567143,1310923833,46549175,2031826,0.4374752076095897,0.015534167191527535
Top Loyal,DEFAULT,DEFAULT,3496343,2899071,2655085133,895307935,117078940,3050713,0.337204982195198,0.04409611524121325,4123728025,1455250599,160807806,3175529,0.35289684241481956,0.038995735175818245
New: Predicted Loyal,Sale - Threshold Offer, Fresh,41278,38307,795094,380896,20404,235,0.4790578220939914,0.025662374511692957,4478956,2082579,242216,2191,0.4649697384837002,0.05407867369092262
Moderate Non-Loyal,Diigital Coupons,General Merchandise,1483083,1378911,29261510,13737118,1283788,11644,0.46946032518485886,0.043872923851161476,6719036,3062442,97636,1962,0.4557859192896124,0.014531251209250851
Bottom Non-Loyal,Seasonal, Fresh,4859274,4621558,121036678,44965862,426876,48339,0.37150608181761235,0.0035268317592126908,512751249,211227506,7112780,331252,0.4119492764024452,0.013871794586306312
New: Predicted Non-Loyal,Holiday,General Merchandise,3256162,3153725,627446508,224667655,4812110,537263,0.35806662741041184,0.007669354978703619,1139808364,408859974,10160620,1052295,0.35870939967940085,0.008914323074751538
New: Predicted Opportunity,Ecommerce,Multi Department,101982,96446,82508211,32459481,1365640,86657,0.3934090996107042,0.016551564789109293,232383234,100691573,5162661,114743,0.43329964587720643,0.022216150929373846
Top Loyal,Ecommerce,Adult Beverage,2926486,2561852,43769189,20041602,747400,10186,0.4578929255463244,0.01707593896702084,361120100,188951255,25660097,96717,0.5232366046642101,0.07105696138209976
Bottom Non-Loyal,Diigital Coupons,Fresh,4045493,3879251,76850467,32794000,1539363,64347,0.42672479791176804,0.020030626489231353,23335804,9387043,154589,8334,0.4022592493491975,0.006624541412843543
Narrow Consumption,Ecommerce,General Merchandise,1515327,1329921,834593764,318873289,23424993,584027,0.38207005941635575,0.0280675389757645,944718040,404736507,39912120,540550,0.42842042796176516,0.042247653066940484
Unreliable Pattern,Sale - Price & Item,Adult Beverage,2337836,2193081,70123798,33948840,993253,16855,0.4841272288189524,0.014164278437970516,279075475,128243448,8201866,115700,0.45952962366184275,0.029389418758491766
Unreliable Pattern,Best Customer,Fuel,2000922,1881019,61681334,30479342,3013455,31592,0.49414206897665347,0.04885521769033076,58658043,26048882,3016269,34191,0.4440803113734974,0.05142123476570809
Bottom Non-Loyal,Sale - Threshold Offer,Grocery,5368501,5058898,2870179292,1182003532,22335615,1801345,0.411822193580233,0.007781958103542753,2701571415,1028517555,28728105,2043744,0.3807108519468844,0.010633849929153177
Moderate Non-Loyal,Holiday,Multi Department,1923153,1722834,894957219,356367292,12664937,628846,0.39819477896183103,0.014151444036790322,6442162070,2992182211,216281881,1821846,0.46446863312148867,0.033572871754839285
Top Loyal,Holiday,No Department,3244478,2740424,1330632942,556498795,28810466,637455,0.41822111675933543,0.02165170054838459,2220966955,1002627416,88396159,574680,0.4514373407235138,0.03980075381175584
Moderate Non-Loyal,Services,Fresh,1805861,1632162,995534914,340745193,18852820,892984,0.3422734734946724,0.018937377016995306,1165415011,488817689,18740749,488083,0.4194365821498759,0.016080751340176447
New: Predicted Loyal,Services,No Department,125519,116519,38071787,14475107,973384,36393,0.3802056099967149,0.025567068863880753,38356446,16636753,1308176,16472,0.433740732913576,0.034105766733445536
New: Predicted Opportunity,Best Customer,Fresh,84940,81144,28454356,12501587,894430,34509,0.43935582305921805,0.03143385146372668,9271197,3885619,162462,4764,0.41910650803774313,0.017523303625195323
New: Predicted Loyal,Holiday,General Merchandise,127000,118332,20130181,7997305,327959,13832,0.39727933891900924,0.01629190517462312,32829204,12866818,878281,26008,0.3919320736500343,0.026753039763011008
New: Predicted Non-Loyal,Sale - Fuel, Fresh,1,1,55,49,38,0,0.8909090909090909,0.6909090909090909,1,1,0,0,1,0
Top Loyal,Sale - Fuel,General Merchandise,2813308,2462713,112964292,56309461,8389978,68445,0.4984713310999196,0.07427106257612803,15749922,7779133,412098,3732,0.49391565240767543,0.0261650819604059
New: Predicted Opportunity,Sale - Digital Coupon,Multi Department,38295,36742,5398651,2183523,107478,3971,0.4044571504992636,0.01990830672329069,9242333,4031391,213279,3510,0.43618759462572926,0.023076316337011446
New: Predicted Opportunity,Sale - Price & Item, Fresh,32095,30805,494078,215198,9032,284,0.43555470998506307,0.018280514412704067,2934699,1338462,92211,1727,0.4560815265892686,0.031420939592101266
Bottom Non-Loyal,Digital Coupons,Grocery,5575231,5225940,6461249026,3220052757,116712336,2962521,0.4983638216144496,0.018063432554657893,3285647882,1190525809,35215595,3043257,0.3623412647235094,0.01071800639165387
Moderate Loyal,Best Customer ,General Merchandise,1469961,1353334,35131288,17221492,2096809,19876,0.4902038319801995,0.05968494522603327,4491113,2096283,86314,1388,0.46676247068377036,0.01921884397030313
New: Predicted Opportunity,Services,General Merchandise,95378,90774,25699297,9636869,471224,23200,0.37498570486188787,0.01833606576864729,32254873,13474611,675261,28095,0.41775427235444396,0.02093516226214873
Moderate Non-Loyal,Sale - Fuel,Grocery,1630024,1497703,72629611,31847511,2888548,62857,0.4384921048248489,0.03977094135889011,25906729,12425311,571497,7812,0.47961712958822394,0.02205978994878126
New: Predicted Non-Loyal,Sale - Price & Item,Produce,2932070,2853012,18814752,7271905,151155,16021,0.38650017815807514,0.00803385556184849,125084782,53708871,1482075,127299,0.42937973861600526,0.011848563640619368
Moderate Loyal,Seasonal,Pharmacy,2312059,2067654,645257692,271766320,7448428,197039,0.42117486295692236,0.011543338564339036,1302537972,492788634,42918773,762848,0.37832957241418524,0.032950112720399063
Bottom Non-Loyal,Weekly Specials,Multi Department,5780017,5390052,14683075079,5559804211,196713467,6717954,0.3786539387074124,0.013397293546591147,24928981024,10305261901,320210727,10765639,0.4133848026551412,0.012844918398057344
New: Predicted Loyal,Sale - Prie,Multi Department,60684,56533,1251976,523751,42543,879,0.4183394889358901,0.033980683335782795,2547830,1150938,100708,766,0.45173265092254977,0.039526970009773024
New: Predicted Loyal,Seasonal, Fresh,48782,45254,717713,280724,8089,256,0.3911368471798616,0.011270521782383766,3763580,1669236,185954,1795,0.443523453732882,0.049408807571514356
Moderate Loyal,Seasonal,Adult Beverage,2112705,1925936,65572060,26904328,574066,17469,0.41030170471996763,0.008754734867259013,255878652,125329241,13399453,90826,0.48979952028198115,0.052366435790040036
New: Predicted Non-Loyal,Best Customer,Gift Cards,234375,229146,36844576,20611734,1538723,36797,0.5594238348678514,0.04176253785631839,53896145,25759900,1754878,35618,0.47795440657212124,0.032560362155771995
New: Predicted Non-Loyal,Weekly Specials,General Merchandise,3789980,3650981,6620077874,2475492711,60845415,4040018,0.3739370983417528,0.009191042183803773,4201540642,1543113423,37068508,3833659,0.3672732348640221,0.00882259893655457
Unreliable Pattern,Services,Fuel,2558879,2346998,93521210,32959929,1423464,52881,0.3524326620667119,0.015220761151400843,323124044,130098497,8655639,186145,0.40262710069325575,0.026787356622709264
New: Predicted Opportunity,Savings - Fuel Points,Gift Cards,1862,1706,92171,48453,9777,69,0.5256859532824858,0.10607457877206497,13640,6898,907,2,0.5057184750733138,0.06649560117302053
New: Predicted Non-Loyal,Digital Coupons,Produce,2933720,2836520,53350786,24815985,810163,39148,0.46514750504331837,0.015185586956488327,146834510,60485954,1705980,141858,0.4119328215145064,0.011618385895795206
Top Loyal,Sale - Fuel,Multi Department,3318163,2791590,146122807,67359852,10267533,103246,0.460981097906229,0.0702664642898627,392283344,190805910,25639410,77174,0.4863981938524517,0.06535941531078618
New: Predicted Loyal,Sale - Fuel Points,Produce,37975,34843,180734,85825,9944,29,0.47486914470990516,0.05502008476545642,2606130,1343662,154246,1164,0.5155775038083288,0.05918584260953982
Bottom Non-Loyal,Ecommerce,Fresh,5252098,4941217,3367245155,1213146458,37978442,4098600,0.36027862604497535,0.011278787332608101,2685022129,959740739,23302722,1552318,0.35744239447197496,0.008678782103251709
Top Loyal,Sale - Fuel,Gift Cards,1367857,1164690,33417210,17758397,3197767,16736,0.5314147111623023,0.09569221966765029,7100205,3484320,335303,813,0.49073512666183583,0.04722441112615763
Narrow Consumption,Best Customer,Fuel,1159074,1058016,37084691,19487863,3426081,16144,0.5254961676773847,0.09238531878289076,42967752,21276788,4336074,19147,0.49518038551330307,0.1009146114974784
Unreliable Pattern,Savings - Fuel Points,Grocery,2523656,2333778,112799794,45982072,3775508,104225,0.4076432267243325,0.033470876728728775,39880168,18558996,822315,12703,0.4653690526078025,0.020619647339499673
New: Predicted Non-Loyal,Digital Coupons,HBC,3339881,3228261,1538974651,709730674,21794290,960771,0.4611711268530829,0.014161565290135503,3690227670,1413500260,36056212,3122150,0.3830387679034448,0.009770728319318033
New: Predicted Opportunity,Best Customer,Produce,2875,2868,31834,19388,7274,12,0.6090343657724445,0.22849783250612551,235559,126774,23423,83,0.5381836397675317,0.09943581013673856
New: Predicted Loyal,Sale - Prie,General Merchandise,28033,25802,550094,252597,32919,341,0.4591887931880733,0.05984249964551513,131674,55323,2486,29,0.4201512827133679,0.018879961116089736
Bottom Non-Loyal,Sale - Digital Coupon,Gift Cards,334123,314511,37672995,21314890,1473216,35431,0.5657869781789316,0.039105359157136296,12836000,7082472,253711,2782,0.5517662823309443,0.01976558117793705
Moderate Non-Loyal,Seasonal,Multi Department,1937035,1732351,1700835173,683742842,20786186,1003403,0.4020041758626072,0.012221164243291434,9301662211,4324361645,311338528,2791588,0.46490203007867537,0.03347127867445197
New: Predicted Loyal,Holiday,Produce,47000,43704,392072,147495,4713,114,0.3761936583076578,0.01202075129057928,2526173,1121768,123124,1189,0.44405826520986486,0.04873933812134007
Unreliable Pattern,Holiday,Gift Cards,2625387,2419873,880954400,348096279,6564676,289334,0.3951354110950578,0.007451777299710405,4107998324,1753640573,97443076,2177450,0.42688444217583377,0.023720330028060645
New: Predicted Non-Loyal,Holiday,Adult Beverage,868394,843669,12755093,4566752,48564,4753,0.35803361057422317,0.0038074202986995076,73150924,29572477,653397,38546,0.4042666227975466,0.008932176987948915
Moderate Loyal,Sale - Fuel Points,Pharmacy,2231312,2002099,287534288,124911215,14015627,129952,0.43442198100561835,0.048744193596834615,1051548137,442266333,38619702,492325,0.4205859127493276,0.036726518398082615
Bottom Non-Loyal,Ecommerce,No Department,5339695,5015746,3704160392,1318213068,41525206,4411226,0.35587364706101526,0.011210423309337086,2573218535,993163326,28927175,1222524,0.3859615157015803,0.011241631678982135
Moderate Non-Loyal,Sale - Price & Item,Multi Department,1938233,1733241,1423121700,636112561,27076160,861860,0.4469839515482056,0.019025892163684947,9509073273,4419587620,318292201,2852106,0.46477585071817124,0.03347247327494644
Bottom Non-Loyal,Brand Savings,Fuel,4147741,3917328,158475522,61787032,1928218,104520,0.38988375756856636,0.012167292309029278,503250843,244840489,8323799,298357,0.48651779208246654,0.01654005972524521
Moderate Non-Loyal,Diigital Coupons,Fresh,1497612,1389921,29324504,13719582,1290088,21856,0.46785384673514,0.043993514775220066,11800662,5268765,137348,3754,0.44648046016401455,0.011639008048870478
New: Predicted Non-Loyal,Sale - Price & Item,General Merchandise,3315950,3212795,815596907,261260035,6405663,690399,0.32032985014740867,0.007853956954743576,1710393714,689905967,16934717,1726319,0.4033609112059681,0.009901063633118568
Narrow Consumption,Sale - Prie,Gift Cards,372998,330900,8286115,4809061,897440,4462,0.5803758456164319,0.10830648621217542,2352022,1264977,156554,267,0.5378253264637831,0.06656145223131417
New: Predicted Loyal,Ecommerce,No Department,125398,116417,41777454,16747859,1203716,46733,0.4008827105644111,0.02881257436128109,38861771,16754183,1309616,16697,0.43112247766577594,0.03369933912687613
Moderate Loyal,Best Customer ,Grocery,2139455,1930953,48688062,21528373,2757493,40455,0.4421694377566312,0.05663591621289013,22121781,10962053,705632,5299,0.49553211832266125,0.03189761258372461
New: Predicted Loyal,Services,Fuel,96865,88995,1460449,551134,36943,638,0.37737298597896946,0.025295645380290582,6318746,2882879,280160,3902,0.4562422670574193,0.04433791135139789
Unreliable Pattern,Ecommerce,Multi Department,2883676,2609585,1846867644,661160684,32830071,2183676,0.35799029028850105,0.017776082171701093,13758270456,6167155277,364325810,4253776,0.4482507664552048,0.02648049485326966
Narrow Consumption,Holiday,Gift Cards,1434581,1276108,494333557,205011308,7072801,149635,0.41472262017607675,0.014307750100808956,1896760662,824470943,80486180,903910,0.43467315593241673,0.042433492855726465
Unreliable Pattern,Holiday,Fresh,2640354,2431980,1050529191,410245581,9203712,551045,0.39051326180616336,0.008761024518737053,1189744541,474895656,15269978,574918,0.3991576675786571,0.012834669522555934
Bottom Non-Loyal,Digital Coupons,No Department,5557215,5202870,6389390965,3180189558,114488556,2934249,0.4977296858840755,0.01791853975240346,3238745274,1178300751,34918664,2701399,0.3638139622955726,0.010781540703531104
Moderate Non-Loyal,Brand Savings,General Merchandise,1850339,1669904,1285406851,439104789,24491634,885111,0.3416076308122929,0.019053604686287764,1166740048,525080785,34164666,783891,0.4500409374822454,0.02928215763105442
Narrow Consumption,Best Customer,Pharmacy,1104621,986154,172240981,93269043,15069378,107072,0.5415032035842852,0.08749008460419765,119220375,47081710,8959494,62595,0.39491328558562244,0.07515069466943046
Moderate Non-Loyal,Sale - Fuel,Gift Cards,275586,245736,6870879,3788093,463331,4131,0.5513258201752643,0.06743402117836743,907155,468682,34302,161,0.5166504070417955,0.03781272219190767
Unreliable Pattern,Sale - Threshold Offer,Multi Department,2882745,2608873,2094630878,930801192,29961935,1308521,0.44437480692958636,0.014304159895039989,13908296920,6234044979,368360138,4292680,0.4482248987678356,0.02648492048442693
Moderate Loyal,Ecommerce,Produce,2126440,1922068,26042360,12174546,495008,8059,0.4674901199430466,0.019007801136302547,219881643,109910545,11517072,97792,0.4998623054676738,0.052378506194807724
New: Predicted Non-Loyal,Best Customer,Pharmacy,523792,502744,78028355,40938827,1605619,83100,0.524666026856519,0.020577378569623824,16946453,5945417,426698,12918,0.350835481619664,0.025179192365505632
New: Predicted Opportunity,Sale - Fuel Points,Multi Department,101923,96392,97512956,38491460,1725044,104403,0.3947317523632449,0.017690408236624475,234452492,101564705,5206997,115436,0.43319951148141345,0.022209177456727566
Moderate Non-Loyal,Seasonal, Fresh,1661674,1525773,49066329,20039289,327239,14776,0.40841223316299047,0.0066693189947020495,185022880,84417819,6295459,95367,0.4562561073527771,0.034025300006139785
New: Predicted Non-Loyal,Brand Savings,Fresh,2271139,2199354,1265334365,471239820,16537012,1467983,0.37242315788997005,0.013069282284133649,346312428,135714789,2946602,249289,0.391885413364374,0.008508507814798954
Top Loyal,Digital Coupons,Fuel,3293488,2788448,482657127,278632535,42143459,85308,0.5772887613446553,0.08731552201859437,536948497,225484847,32051311,291054,0.41993756991557424,0.05969159273016831
Top Loyal,Ecommerce,Gift Cards,3211999,2716927,1161260593,501587591,33548654,536930,0.43193370551238536,0.02888985831623755,4567846542,2060554630,212604890,1839269,0.45109979309808435,0.04654378995554269
New: Predicted Loyal,Ecommerce,HBC,110404,103026,25690352,11149645,821635,22697,0.4340012546344246,0.03198223986966002,39348930,14757783,841341,28275,0.37504915635571284,0.021381547096706314
New: Predicted Loyal,Best Customer ,No Department,66435,61750,1176272,503727,54112,974,0.4282402369519975,0.04600296530054273,329656,137003,12479,156,0.41559383114519377,0.037854612080471764
Narrow Consumption,Best Customer ,Grocery,1325837,1189477,30362666,13443080,1934715,25924,0.4427503171164219,0.0637201950579702,12598471,6304303,477314,3258,0.5004022313501376,0.03788666100830807
Moderate Loyal,Diigital Coupons,No Department,2075466,1893015,41763500,20126033,2608464,27442,0.4819048451398949,0.06245798364600668,21297894,10011777,799969,3492,0.47008295749805123,0.037560943819140054
New: Predicted Loyal,Sale - Fuel Points, Fresh,23222,21205,276528,127768,14946,36,0.46204362668518195,0.05404877625412255,3378522,1584980,207973,1475,0.46913413616960314,0.06155739107219074
Top Loyal,Digital Coupons,Fresh,3366813,2827632,4795253361,2749476943,404030068,1011409,0.5733746970205189,0.08425625041754702,2794123615,1277694058,78449947,937566,0.45727900195281806,0.028076763167831427
Bottom Non-Loyal,Seasonal,Adult Beverage,4631574,4432725,123160294,43997245,437869,42142,0.35723562822933824,0.003555277320140207,537745910,230097055,7868341,261153,0.4278917807110797,0.014632079674952805
Moderate Loyal,Weekly Specials, Fresh,2367683,2098305,306923938,134034451,14803447,70031,0.4367024998877735,0.048231646890963584,343649955,160556360,17040266,164578,0.46720902378701024,0.049586114451840975
Bottom Non-Loyal,Best Customer ,Multi Department,5481796,5145177,117608201,43779319,1988541,146143,0.3722471615733668,0.016908183129168006,294119497,116751225,3610564,127543,0.396951668253397,0.012275840387419131
New: Predicted Non-Loyal,Ecommerce,Fresh,2478380,2397842,1021350829,395547996,14074236,1311638,0.3872792626871212,0.013780021125336552,650731421,229425310,6135908,517800,0.3525652866853036,0.009429248076834451
Bottom Non-Loyal,Sale - Fuel Points,Grocery,5334498,5028889,4324581437,1483625267,60554603,5020219,0.34306794509787375,0.014002419397611635,2247884378,892708729,25250647,1315206,0.3971328497750697,0.011233071970750623
New: Predicted Opportunity,Seasonal,Grocery,97797,93196,33005668,13820184,344144,22075,0.4187215359495224,0.01042681517610854,30440361,11588382,604574,23751,0.3806913459403454,0.019860933975125984
New: Predicted Opportunity,Sale - Fuel Points,Adult Beverage,13131,12493,135108,56013,5211,81,0.41457944755306864,0.0385691446842526,1588556,720817,56898,628,0.45375611561695023,0.035817434198101926
Moderate Loyal,Best Customer ,No Department,2192561,1977050,49816854,21874302,2798412,40699,0.43909440768780783,0.0561740008712714,26731112,11349801,890032,7458,0.4245914273974087,0.03329573419916089
New: Predicted Loyal,Weekly Specials,Pharmacy,134765,124224,65533260,27113932,2253551,28178,0.41374306726080773,0.03438789707699571,56594573,22340163,1426460,40777,0.39474037554802294,0.02520489022860902
Top Loyal,Digital Coupons,Adult Beverage,3032612,2621603,200508180,117506691,18159720,26955,0.5860443748479488,0.09056847456298292,393257297,199245998,27000464,128421,0.5066555649951487,0.06865852002232523
Unreliable Pattern,Ecommerce, Fresh,2266090,2114680,44073471,18984580,551551,14638,0.430748465443078,0.012514353589260079,340719811,154510225,9627817,158617,0.4534817759687006,0.028257285573570597
Moderate Loyal,Diigital Coupons,Fresh,2027352,1852836,40565840,19576927,2538998,26216,0.4825963667953135,0.06258955811096233,18001186,8464115,292615,4927,0.4701976303116917,0.016255317844057607
New: Predicted Loyal,Seasonal,No Department,132410,123047,49472724,20787721,659555,31167,0.4201854945363429,0.013331689599303245,45855290,18841356,1452662,27433,0.41088729348347813,0.031679267539252286
Unreliable Pattern,Seasonal,General Merchandise,2790183,2546557,2166493673,847415735,17416298,947753,0.3911461849904973,0.008038933239017125,2097555580,810433632,44088686,1839183,0.3863705161033206,0.0210190787888443
Moderate Loyal,Sale - Fuel,General Merchandise,2004492,1830649,76316714,36740063,4403888,52541,0.4814156830704215,0.057705419549379446,10691067,5125997,221160,3166,0.47946542660335023,0.02068642914687561
Moderate Non-Loyal,Sale - Threshold Offer,Fresh,1816731,1646714,1175963968,563361534,15650743,514918,0.4790636017174295,0.013308862708283253,1209261327,498249229,18673099,623376,0.41202775436148553,0.015441739997032088
Moderate Loyal,Services, Fresh,2059472,1857507,31362754,11347186,500072,6902,0.36180451499890603,0.015944773217301006,300159050,148069835,16009390,113477,0.49330458302023544,0.0533363561751678
New: Predicted Opportunity,Best Customer ,No Department,47492,45447,815578,340381,24184,761,0.41734941354474986,0.029652589942347634,167639,66908,4414,113,0.39911953662333943,0.02633038851341275
Moderate Non-Loyal,Holiday,General Merchandise,1848577,1671825,746269040,298513006,7615582,325413,0.40000722259629046,0.010204874638776385,939279151,379760391,23481749,692281,0.40431046573927415,0.02499975537091422
New: Predicted Loyal,Sale - Fuel,Multi Department,85933,79263,3743201,1552736,119345,2738,0.4148150206200522,0.031883139590954374,6433633,2769980,239427,2469,0.4305467843751734,0.03721489864280415
Top Loyal,Sale - Digital Coupon,Fresh,2753271,2417089,324792525,162127617,25396669,204052,0.49917287043474906,0.07819351445973087,172249401,79148131,3412295,40454,0.4594972786001154,0.01981019951413358
Narrow Consumption,Digital Coupons,Pharmacy,1480400,1310116,704120307,400539208,51929400,154761,0.5688505274142023,0.07375074896114309,813286761,304117322,30707565,509952,0.37393615214646286,0.03775736489579965
Bottom Non-Loyal,Sale - Prie,HBC,2491080,2398394,48640268,23442252,1087865,36136,0.48195153858938444,0.02236552232812533,7158994,3187334,39999,2026,0.44522093467322366,0.00558723753644716
Top Loyal,Seasonal, Fresh,3003706,2598450,80917613,34722674,934668,16815,0.429111446972614,0.011550859761520647,342189710,166744117,22478458,129177,0.4872855966358544,0.06569004661186334
New: Predicted Loyal,Sale - Threshold Offer,Multi Department,138061,127174,99069292,40341966,1682986,73702,0.4072095922518554,0.01698796838075718,334674675,150122284,12454202,140332,0.44856182799012206,0.03721286051895023
New: Predicted Loyal,Best Customer,Grocery,119665,111407,43814099,20050362,2017941,46489,0.45762351520682876,0.04605688684822664,18540967,9026998,707654,6711,0.4868677022077651,0.03816704921593356
Moderate Loyal,Sale - Prie,General Merchandise,2029705,1852321,39167126,19004918,2458270,22024,0.4852262583677955,0.06276360435534636,9157679,4226013,179934,1883,0.4614720607699833,0.01964842838452844
New: Predicted Loyal,Holiday,Adult Beverage,28139,25861,450944,188335,6801,107,0.417646093528243,0.015081695288106727,2543211,1205817,139724,963,0.4741317177379305,0.05493999514786622
